Model,MDO3024
Firmware Version,1.30

Waveform Type,ANALOG,,
Point Format,Y,,
Horizontal Units,s,,
Horizontal Scale,0.1,,
Horizontal Delay,0,,
Sample Interval,0.0001,,
Record Length,10000,,
Gating,0.0% to 100.0%,,
Probe Attenuation,1,1,1
Vertical Units,V,V,V
Vertical Offset,0,0,0
Vertical Scale,0.1,1,5
Vertical Position,1.98,0,-2.04
,,,
,,,
,,,
Label,,,
TIME,CH1,CH2,CH3
-5.000e-01,0.121922,2.02375,1.58281
-4.999e-01,0.121937,1.97375,1.58359
-4.998e-01,0.119594,1.96516,1.58047
-4.997e-01,0.114906,2.08,1.59063
-4.996e-01,0.114828,2.02719,1.59141
-4.995e-01,0.118016,2.02281,1.5875
-4.994e-01,0.121453,2.15687,1.58359
-4.993e-01,0.114375,2.02937,1.58516
-4.992e-01,0.114266,2.00406,1.58047
-4.991e-01,0.114172,1.96516,1.575
-4.990e-01,0.117063,1.9425,1.57344
-4.989e-01,0.120984,2.06109,1.57266
-4.988e-01,0.113766,1.97797,1.56719
-4.987e-01,0.11725,1.98531,1.56875
-4.986e-01,0.124547,2.06391,1.57266
-4.985e-01,0.120891,1.93594,1.57109
-4.984e-01,0.117406,2.01422,1.57109
-4.983e-01,0.124437,2.13922,1.57422
-4.982e-01,0.121266,2.04797,1.58203
-4.981e-01,0.118016,2.06375,1.58125
-4.980e-01,0.125,2.14234,1.57812
-4.979e-01,0.121781,2.02188,1.57031
-4.978e-01,0.115312,2.02422,1.57344
-4.977e-01,0.118563,2.02969,1.56719
-4.976e-01,0.125891,2.10531,1.56016
-4.975e-01,0.1225,2.02281,1.56563
-4.974e-01,0.119484,2.05734,1.57031
-4.973e-01,0.126656,2.15141,1.56875
-4.972e-01,0.126516,2.0625,1.57344
-4.971e-01,0.123609,2.01406,1.56406
-4.970e-01,0.120781,2.06969,1.56641
-4.969e-01,0.128,2.14453,1.56563
-4.968e-01,0.124812,2.08547,1.56094
-4.967e-01,0.119016,2.08047,1.56484
-4.966e-01,0.122391,2.04703,1.57656
-4.965e-01,0.129531,2.09703,1.57422
-4.964e-01,0.126469,2.03859,1.56953
-4.963e-01,0.120797,2.06547,1.57578
-4.962e-01,0.120594,1.99984,1.58125
-4.961e-01,0.118094,1.95547,1.57812
-4.960e-01,0.116109,2.04188,1.56641
-4.959e-01,0.122828,2.06578,1.57344
-4.958e-01,0.120156,2.03281,1.58047
-4.957e-01,0.11525,2.07031,1.57891
-4.956e-01,0.118406,2.03375,1.57344
-4.955e-01,0.125203,1.99797,1.57656
-4.954e-01,0.122766,1.95453,1.56328
-4.953e-01,0.117688,2.04375,1.56797
-4.952e-01,0.117547,1.99094,1.56875
-4.951e-01,0.115297,1.97188,1.56875
-4.950e-01,0.113922,2.10859,1.57422
-4.949e-01,0.120672,2.07531,1.57266
-4.948e-01,0.120547,1.97313,1.57578
-4.947e-01,0.118172,1.98453,1.56797
-4.946e-01,0.117203,2.09109,1.56641
-4.945e-01,0.123766,2.03219,1.56563
-4.944e-01,0.123516,1.97406,1.57656
-4.943e-01,0.121484,2.01984,1.57031
-4.942e-01,0.117125,2.09906,1.57578
-4.941e-01,0.116844,2.02687,1.56484
